index,name,surname,initials,age,dateOfBirth
1784,Aaron,Ellison,A,44,1974/01/25
1785,jaco,Fuller,j,24,1994/11/14
1786,Freddie,Harold,F,24,1994/11/09
1787,Miena,Fulton,M,10,2008/09/12
1788,Susan,Ellis,S,32,1986/04/14
1789,jaco,Emerson,j,2,2016/10/25
1790,Peter,Elliott,P,23,1995/01/26
1791,"Pieter Andre",Edwards,PA,1,2017/05/10
1792,Frik,Gallegos,F,14,2004/04/22
1793,Shae,Eaton,S,13,2005/10/23
1794,Freddie,Eaton,F,35,1983/01/03
1795,Maria,Emerson,M,12,2006/12/23
1796,Aaron,Gaines,A,16,2002/04/30
1797,Maria,Gaines,M,6,2012/04/02
1798,Shai,Harold,S,3,2015/01/13
1799,Miena,Gamble,M,26,1992/07/25
1800,Ben,Elliott,B,45,1973/10/03
1801,Susan,"Van Zyl",S,14,2004/09/19
1802,Santie,Gallegos,S,45,1973/12/18
1803,jaco,Galloway,j,42,1976/01/19
1804,Ben,Gallegos,B,34,1984/04/20
1805,Susan,Fulton,S,31,1987/10/15
1806,Peter,Ellison,P,22,1996/06/19
1807,jaco,Fulton,j,48,1970/09/18
1808,Shadow,Fulton,S,17,2001/08/22
1809,Freddie,Duran,F,7,2011/03/12
1810,Aron-James,Ellis,A,3,2015/07/12
1811,"Garret Pieter",Eaton,GP,3,2015/09/05
1812,Susan,Eaton,S,42,1976/07/24
1813,Riaan,Eaton,R,30,1988/07/13
1814,Frik,Gaines,F,4,2014/05/26
1815,Aron-James,Ellis,A,13,2005/09/28
1816,Shahmir,Elliott,S,7,2011/03/24
1817,"Garret Pieter",Duran,GP,47,1971/03/09
1818,Maria,Edwards,M,34,1984/03/05
1819,Shane,Duran,S,18,2000/08/09
1820,Maria,Harold,M,13,2005/01/14
1821,jaco,Gallagher,j,5,2013/01/05
1822,Shane,Fulton,S,41,1977/02/02
1823,Miena,Emerson,M,6,2012/07/24
1824,Shahmir,Fulton,S,4,2014/01/15
1825,Maria,England,M,7,2011/02/19
1826,"Pieter Andre",Fuentes,PA,13,2005/04/09
1827,Shadow,Elliott,S,8,2010/06/12
1828,Maria,England,M,36,1982/09/29
1829,Miena,Galloway,M,22,1996/08/02
1830,Santie,England,S,22,1996/01/24
1831,Maria,Gamble,M,4,2014/05/17
1832,Shadow,"Van Zyl",S,30,1988/12/18
1833,Shahmir,Fuller,S,3,2015/04/23
1834,jaco,Emerson,j,6,2012/01/27
1835,Susan,Emerson,S,47,1971/05/22
1836,"Garret Pieter",Ellis,GP,27,1991/11/06
1837,Peter,Galloway,P,31,1987/08/30
1838,Ben,Fuentes,B,27,1991/03/10
1839,Shahmir,"Van Zyl",S,41,1977/08/28
1840,jaco,Gallagher,j,11,2007/09/11
1841,Riaan,England,R,16,2002/08/28
1842,Freddie,Gaines,F,22,1996/09/17
1843,Ben,Dyer,B,1,2017/12/13
1844,Ben,Fuller,B,28,1990/09/03
1845,Aaron,Durham,A,39,1979/05/23
1846,Ben,Emerson,B,19,1999/10/21
1847,Aron-James,Fulton,A,26,1992/05/20
1848,Shai,Ellis,S,48,1970/07/28
1849,Shahmir,Fuentes,S,1,2017/02/13
1850,Aaron,Gallagher,A,48,1970/06/20
1851,"Garret Pieter",Fuentes,GP,6,2012/05/11
1852,Frik,Gamble,F,34,1984/11/28
1853,Frik,Ellis,F,3,2015/10/21
1854,Shai,Edwards,S,4,2014/10/07
1855,Shae,Fuentes,S,8,2010/11/25
1856,Freddie,Fulton,F,27,1991/06/28
1857,"Garret Pieter",Emerson,GP,24,1994/08/25
1858,Jan,Elliott,J,35,1983/01/14
1859,Shahmir,Gallegos,S,26,1992/10/12
1860,Riaan,Eaton,R,12,2006/10/01
1861,Aaron,Dyer,A,6,2012/11/25
1862,Aaron,Gallegos,A,48,1970/06/10
1863,Jan,Gallegos,J,8,2010/01/09
1864,"Pieter Andre",Gamble,PA,2,2016/11/17
1865,Susan,Edwards,S,26,1992/09/11
1866,Maria,Dyer,M,27,1991/04/12
1867,Shahmir,Gallagher,S,12,2006/01/07
1868,Shadow,Eaton,S,18,2000/02/07
1869,Shahmir,Eaton,S,16,2002/05/12
1870,Shadow,Harold,S,14,2004/05/01
1871,Maria,Dyer,M,38,1980/05/06
1872,Miena,Emerson,M,26,1992/11/13
1873,Peter,Gamble,P,21,1997/12/28
1874,Shadow,Ellis,S,22,1996/01/01
1875,Shahmir,England,S,33,1985/09/02
1876,Aron-James,Duran,A,26,1992/03/15
1877,Miena,Emerson,M,40,1978/03/23
1878,Santie,Emerson,S,17,2001/09/20
1879,jaco,Gamble,j,31,1987/08/10
1880,Miena,Elliott,M,30,1988/09/30
1881,jaco,"Van Zyl",j,42,1976/04/04
1882,Peter,Fuentes,P,47,1971/01/24
1883,Shahmir,Emerson,S,45,1973/01/29
1884,Aaron,Emerson,A,22,1996/05/19
1885,Shadow,England,S,13,2005/12/03
1886,Peter,Ellis,P,42,1976/11/07
1887,"Garret Pieter",Harold,GP,33,1985/01/19
1888,Shai,Ellison,S,22,1996/02/03
1889,Miena,Gamble,M,38,1980/11/18
1890,Jan,Ellison,J,0,2018/12/21
1891,Aaron,Duran,A,1,2017/05/25
1892,Shahmir,Edwards,S,26,1992/10/13
1893,Maria,Emerson,M,14,2004/12/15
1894,Aron-James,Harold,A,21,1997/06/27
1895,jaco,"Van Zyl",j,34,1984/07/02
1896,Aron-James,Harold,A,27,1991/09/01
1897,Aron-James,Fulton,A,37,1981/09/06
1898,Santie,Ellison,S,11,2007/09/04
1899,Peter,Ellison,P,9,2009/12/20
1900,Shane,Duran,S,40,1978/02/08
1901,Aaron,Galloway,A,2,2016/01/07
1902,Riaan,Durham,R,1,2017/12/10
1903,Shadow,Fuller,S,3,2015/05/29
1904,Riaan,Ellison,R,47,1971/05/06
1905,Shadow,"Van Zyl",S,16,2002/03/21
1906,Jan,Emerson,J,37,1981/01/17
1907,Freddie,Eaton,F,0,2018/06/30
1908,Susan,Gallegos,S,5,2013/12/16
1909,Jan,Eaton,J,41,1977/09/14
1910,Shai,England,S,26,1992/01/01
1911,Ben,Gaines,B,47,1971/12/25
1912,Ben,Gamble,B,48,1970/09/17
1913,"Garret Pieter",Fuentes,GP,32,1986/05/01
1914,Shahmir,Gamble,S,22,1996/03/08
1915,Peter,Edwards,P,47,1971/01/07
1916,Susan,"Van Zyl",S,6,2012/08/11
1917,Riaan,Gallagher,R,0,2018/05/24
1918,Peter,England,P,30,1988/05/22
1919,Santie,Fuentes,S,44,1974/05/09
1920,Aaron,Galloway,A,11,2007/06/15
1921,Shane,Gamble,S,4,2014/04/16
1922,Aron-James,Gallagher,A,13,2005/02/10
1923,Freddie,Edwards,F,15,2003/03/18
1924,Shadow,Ellis,S,40,1978/08/30
1925,Maria,Gaines,M,40,1978/07/01
1926,Shae,Edwards,S,26,1992/08/21
1927,Jan,Ellis,J,17,2001/12/03
1928,Shai,Gallagher,S,25,1993/07/26
1929,Aaron,Fuentes,A,16,2002/08/06
1930,Aron-James,Fulton,A,7,2011/03/07
1931,Shadow,Fuller,S,37,1981/03/16
1932,Shae,Harold,S,29,1989/01/14
1933,Susan,Fuller,S,14,2004/04/18
1934,Shai,Gallagher,S,19,1999/01/24
1935,Susan,"Van Zyl",S,27,1991/02/04
1936,Maria,Duran,M,40,1978/01/14
1937,Aron-James,Ellis,A,43,1975/03/29
1938,Shadow,Elliott,S,35,1983/07/25
1939,jaco,Edwards,j,38,1980/01/10
1940,Shane,Dyer,S,34,1984/02/02
1941,Ben,Fulton,B,36,1982/05/16
1942,jaco,Fulton,j,40,1978/03/20
1943,Ben,Gallagher,B,4,2014/04/10
1944,Freddie,Harold,F,11,2007/06/30
1945,Shahmir,Ellis,S,6,2012/04/20
1946,Shae,Ellis,S,18,2000/08/09
1947,Peter,Gallagher,P,23,1995/07/22
1948,Santie,Edwards,S,39,1979/05/13
1949,Jan,Gaines,J,23,1995/08/15
1950,Shadow,Ellis,S,18,2000/05/03
1951,Santie,Edwards,S,21,1997/04/28
1952,Aaron,Ellis,A,32,1986/07/08
1953,Frik,England,F,10,2008/08/20
1954,Aron-James,Fuentes,A,25,1993/01/19
1955,Frik,Harold,F,36,1982/08/17
1956,Freddie,Harold,F,38,1980/06/17
1957,Aaron,Dyer,A,12,2006/12/27
1958,Maria,Ellison,M,7,2011/06/18
1959,Shae,Durham,S,46,1972/01/23
1960,Jan,Fulton,J,27,1991/02/21
1961,Shane,Elliott,S,12,2006/08/27
1962,Miena,England,M,21,1997/12/28
1963,Freddie,Gaines,F,10,2008/04/08
1964,Frik,Ellison,F,34,1984/01/18
1965,Shane,Elliott,S,38,1980/01/23
1966,Aron-James,Fuller,A,17,2001/06/10
1967,Susan,"Van Zyl",S,35,1983/05/23
1968,Susan,Elliott,S,18,2000/09/30
1969,Shae,England,S,6,2012/04/18
1970,Miena,Gamble,M,15,2003/06/15
1971,Miena,Harold,M,32,1986/02/12
1972,Miena,Durham,M,13,2005/05/20
1973,Shadow,Fuentes,S,36,1982/12/30
1974,"Pieter Andre",Duran,PA,36,1982/01/27
1975,Riaan,England,R,45,1973/04/18
1976,Santie,Duran,S,30,1988/12/06
1977,Shae,Edwards,S,36,1982/04/22
1978,Miena,Edwards,M,45,1973/03/01
1979,Santie,Harold,S,41,1977/11/12
1980,Aaron,Harold,A,8,2010/11/22
1981,Aaron,Ellis,A,35,1983/03/15
1982,Aaron,Gaines,A,0,2018/01/15
1983,Shane,Gallagher,S,33,1985/09/01
1984,Jan,Harold,J,29,1989/09/20
1985,Shadow,"Van Zyl",S,5,2013/05/04
1986,Aron-James,Gaines,A,16,2002/11/25
1987,Santie,Edwards,S,43,1975/01/17
1988,Aaron,Harold,A,42,1976/02/21
1989,jaco,Gaines,j,29,1989/10/16
1990,Frik,Edwards,F,14,2004/03/07
1991,Aron-James,Gallagher,A,4,2014/11/07
1992,jaco,Harold,j,24,1994/12/12
1993,jaco,Gaines,j,17,2001/04/30
1994,Shane,Durham,S,27,1991/09/23
1995,jaco,Gallagher,j,31,1987/11/09
1996,"Pieter Andre",Duran,PA,7,2011/08/19
1997,Aaron,Gallegos,A,4,2014/04/10
1998,Jan,Gallagher,J,20,1998/01/18
1999,Shae,Eaton,S,44,1974/04/05
2000,Aron-James,Dyer,A,46,1972/09/28
2001,Susan,Fulton,S,18,2000/12/23
2002,Shae,England,S,10,2008/09/25
2003,Shane,Gallagher,S,3,2015/07/22
2004,Susan,Dyer,S,11,2007/03/10
2005,"Garret Pieter",Gamble,GP,26,1992/06/23
2006,Freddie,Duran,F,31,1987/01/16
2007,Shae,Durham,S,17,2001/10/09
2008,Shai,Harold,S,48,1970/05/01
2009,Ben,Eaton,B,37,1981/01/05
2010,Santie,Ellison,S,9,2009/12/10
2011,Shai,England,S,3,2015/03/04
2012,"Pieter Andre",Fuentes,PA,10,2008/11/24
2013,Maria,Harold,M,14,2004/07/04
2014,Shahmir,Ellis,S,36,1982/12/30
2015,Maria,Ellis,M,19,1999/01/27
2016,Riaan,Fuentes,R,42,1976/11/23
2017,Shadow,Emerson,S,34,1984/06/09
2018,"Garret Pieter",Fuentes,GP,36,1982/05/19
2019,Maria,Duran,M,41,1977/08/29
2020,Shae,Ellis,S,37,1981/04/01
2021,Maria,Duran,M,34,1984/08/01
2022,Aron-James,Gallagher,A,5,2013/07/11
2023,Shane,Fulton,S,3,2015/12/16
2024,Frik,Ellison,F,14,2004/04/04
2025,Freddie,Durham,F,26,1992/10/24
2026,Aaron,Emerson,A,3,2015/05/24
2027,Peter,"Van Zyl",P,22,1996/02/06
2028,Susan,Gaines,S,13,2005/09/23
2029,Frik,Harold,F,42,1976/12/28
2030,jaco,Dyer,j,24,1994/08/17
2031,Maria,England,M,21,1997/04/13
2032,Ben,Duran,B,39,1979/08/20
2033,Shane,Harold,S,44,1974/06/29
2034,Freddie,Dyer,F,45,1973/05/23
2035,"Pieter Andre",Elliott,PA,11,2007/02/18
2036,Riaan,Galloway,R,22,1996/11/30
2037,Miena,Emerson,M,10,2008/12/02
2038,Freddie,Fuentes,F,5,2013/11/08
2039,Aaron,Elliott,A,34,1984/07/16
2040,Santie,Edwards,S,9,2009/09/24
2041,Peter,Gaines,P,0,2018/12/05
2042,Susan,Elliott,S,46,1972/02/11
2043,"Pieter Andre",Ellison,PA,9,2009/10/23
2044,jaco,Gallegos,j,18,2000/04/10
2045,Shahmir,Gallagher,S,37,1981/02/10
2046,"Garret Pieter",Gamble,GP,10,2008/12/15
2047,Shae,Fulton,S,13,2005/12/03
2048,Riaan,England,R,15,2003/05/28
2049,Freddie,Gallagher,F,5,2013/09/18
2050,Shai,Gallegos,S,31,1987/07/25
2051,Shadow,Galloway,S,10,2008/03/07
2052,Riaan,"Van Zyl",R,24,1994/09/26
2053,Ben,Gamble,B,45,1973/09/08
2054,Aaron,Fuller,A,6,2012/09/13
2055,Santie,Gaines,S,28,1990/11/02
2056,Frik,Ellis,F,2,2016/01/12
2057,Aron-James,Edwards,A,0,2018/03/15
2058,Santie,Durham,S,38,1980/10/18
2059,Shahmir,Fuller,S,6,2012/10/23
2060,Shae,Gallegos,S,32,1986/08/03
2061,Shadow,Emerson,S,11,2007/11/17
2062,Shae,Emerson,S,21,1997/02/19
2063,"Pieter Andre",Duran,PA,24,1994/03/25
2064,Freddie,Gallegos,F,1,2017/02/08
2065,Freddie,Gallegos,F,32,1986/05/10
2066,Shahmir,Durham,S,8,2010/08/28
2067,Aaron,Emerson,A,21,1997/02/05
2068,Susan,Gamble,S,16,2002/11/07
2069,Ben,Edwards,B,41,1977/08/07
2070,Shahmir,Elliott,S,8,2010/11/18
2071,Shae,Ellis,S,46,1972/05/20
2072,Peter,Elliott,P,36,1982/04/14
2073,Santie,Emerson,S,48,1970/06/14
2074,Frik,Ellis,F,48,1970/11/10
2075,Shane,Ellis,S,12,2006/08/26
2076,Shae,Duran,S,9,2009/02/14
2077,Shadow,Gallagher,S,15,2003/04/20
2078,Shane,Gamble,S,18,2000/09/22
2079,Shai,"Van Zyl",S,19,1999/02/11
2080,Jan,Edwards,J,20,1998/08/28
2081,Peter,Emerson,P,17,2001/11/23
2082,"Garret Pieter",Gallegos,GP,15,2003/11/01
2083,Freddie,Elliott,F,15,2003/09/14
2084,Miena,Gallagher,M,12,2006/09/27
2085,Miena,"Van Zyl",M,17,2001/11/26
2086,Santie,Galloway,S,18,2000/05/01
2087,Susan,Dyer,S,2,2016/01/23
2088,Peter,Gaines,P,25,1993/07/10
2089,Shane,Harold,S,42,1976/10/05
2090,Maria,Ellison,M,35,1983/09/05
2091,Peter,Edwards,P,25,1993/04/04
2092,Maria,Fulton,M,2,2016/09/29
2093,Riaan,Gallagher,R,13,2005/11/30
2094,Maria,Durham,M,37,1981/09/22
2095,Frik,Emerson,F,14,2004/11/02
2096,Freddie,Elliott,F,18,2000/02/13
2097,Shae,Ellison,S,21,1997/01/28
2098,"Pieter Andre",Ellis,PA,9,2009/11/01
2099,Aaron,Durham,A,45,1973/05/18
2100,Shai,Edwards,S,47,1971/09/11
2101,Miena,Fuller,M,28,1990/09/02
2102,Riaan,Durham,R,41,1977/07/18
2103,jaco,Fulton,j,48,1970/05/12
2104,Shane,Edwards,S,17,2001/01/12
2105,Frik,Gaines,F,43,1975/07/26
2106,Riaan,Edwards,R,16,2002/12/10
2107,Shai,Harold,S,39,1979/04/13
2108,Aron-James,Emerson,A,28,1990/05/22
2109,Shai,Eaton,S,17,2001/08/29
2110,Jan,Dyer,J,16,2002/01/13
2111,Riaan,Gamble,R,8,2010/03/03
2112,Ben,Gaines,B,23,1995/03/07
2113,Shadow,Duran,S,14,2004/06/11
2114,"Garret Pieter",Elliott,GP,10,2008/01/08
2115,Maria,Duran,M,26,1992/03/12
2116,jaco,Edwards,j,8,2010/05/11
2117,Freddie,Ellis,F,7,2011/09/26
2118,jaco,England,j,36,1982/09/26
2119,Frik,Ellis,F,16,2002/08/29
2120,Jan,"Van Zyl",J,36,1982/11/07
2121,Riaan,"Van Zyl",R,25,1993/03/10
2122,Shadow,Fulton,S,18,2000/08/09
2123,Aaron,Duran,A,48,1970/10/27
2124,Aaron,Elliott,A,32,1986/07/22
2125,Frik,Durham,F,15,2003/01/22
2126,Shahmir,Gaines,S,44,1974/03/25
2127,Riaan,England,R,46,1972/03/27
2128,Freddie,"Van Zyl",F,25,1993/08/25
2129,Peter,Eaton,P,8,2010/05/06
2130,Miena,Gamble,M,32,1986/07/21
2131,"Garret Pieter",Edwards,GP,45,1973/04/10
2132,Freddie,Fuentes,F,38,1980/11/27
2133,"Pieter Andre",Ellison,PA,28,1990/05/26
2134,Shae,"Van Zyl",S,9,2009/02/06
2135,Santie,Durham,S,5,2013/05/29
2136,Freddie,Dyer,F,28,1990/08/09
2137,"Pieter Andre",Harold,PA,7,2011/09/19
2138,Santie,England,S,23,1995/01/19
2139,Miena,Fuller,M,37,1981/09/04
2140,Aron-James,Emerson,A,40,1978/03/18
2141,Shai,Dyer,S,25,1993/09/16
2142,Miena,Elliott,M,20,1998/06/11
2143,Ben,Dyer,B,3,2015/12/10
2144,Peter,Edwards,P,4,2014/08/19
2145,"Garret Pieter",Fuentes,GP,31,1987/04/29
2146,Jan,Gamble,J,33,1985/07/20
2147,Maria,"Van Zyl",M,39,1979/05/02
2148,Peter,Dyer,P,26,1992/04/08
2149,Shae,Durham,S,29,1989/12/17
2150,Freddie,Ellis,F,28,1990/09/12
2151,Shai,Eaton,S,47,1971/11/10
2152,Shadow,Fulton,S,22,1996/11/05
2153,Peter,Gamble,P,26,1992/12/10
2154,Shahmir,Eaton,S,22,1996/09/04
2155,jaco,Ellis,j,2,2016/08/05
2156,Maria,Gaines,M,1,2017/12/23
2157,Shahmir,Edwards,S,0,2018/05/22
2158,Ben,Durham,B,32,1986/04/11
2159,Miena,Eaton,M,34,1984/11/26
2160,Maria,Gallagher,M,7,2011/10/19
2161,Shadow,England,S,30,1988/08/20
2162,Maria,Elliott,M,38,1980/08/29
2163,Jan,England,J,39,1979/06/04
2164,jaco,Duran,j,8,2010/06/02
2165,"Pieter Andre","Van Zyl",PA,48,1970/01/26
2166,Ben,Fulton,B,4,2014/10/09
2167,Aaron,Dyer,A,38,1980/05/07
2168,Maria,Gallegos,M,33,1985/02/13
2169,Ben,Duran,B,40,1978/10/15
2170,Shai,Fuentes,S,24,1994/10/06
2171,Santie,Eaton,S,25,1993/07/28
2172,Frik,"Van Zyl",F,16,2002/10/25
2173,Shae,Emerson,S,43,1975/07/24
2174,Frik,Elliott,F,5,2013/02/24
2175,"Pieter Andre",Fuentes,PA,28,1990/07/20
2176,Shai,Fuentes,S,4,2014/12/09
2177,Shai,Gallegos,S,35,1983/10/20
2178,Susan,Fulton,S,45,1973/02/12
2179,Aron-James,"Van Zyl",A,12,2006/06/22
2180,"Pieter Andre",England,PA,44,1974/05/20
2181,"Garret Pieter",Duran,GP,44,1974/06/19
2182,Shahmir,Gamble,S,40,1978/08/20
2183,Shae,Galloway,S,27,1991/08/12
2184,Maria,Ellis,M,45,1973/09/17
2185,"Garret Pieter",Gallegos,GP,2,2016/01/11
2186,"Garret Pieter",Fulton,GP,42,1976/01/14
2187,Aron-James,"Van Zyl",A,20,1998/01/16
2188,jaco,Gamble,j,7,2011/12/02
2189,"Garret Pieter",Galloway,GP,37,1981/12/24
2190,Shadow,Ellis,S,16,2002/03/24
2191,Shae,Durham,S,20,1998/01/24
2192,Maria,Eaton,M,27,1991/02/08
2193,Santie,Harold,S,42,1976/07/30
2194,"Pieter Andre",England,PA,24,1994/01/11
2195,Riaan,Durham,R,28,1990/04/24
2196,Miena,Fuller,M,42,1976/02/29
2197,Peter,Dyer,P,16,2002/04/20
2198,Shai,Fulton,S,42,1976/06/24
2199,Aron-James,Ellis,A,14,2004/06/22
2200,Freddie,Gamble,F,14,2004/12/12
2201,Aron-James,Gamble,A,38,1980/09/05
2202,"Garret Pieter",Gallagher,GP,15,2003/02/26
2203,Peter,Edwards,P,20,1998/03/21
2204,Shahmir,Fuller,S,35,1983/05/02
2205,Ben,Emerson,B,6,2012/05/25
2206,"Pieter Andre",Gallagher,PA,22,1996/02/22
2207,Susan,Fuller,S,44,1974/04/08
2208,Maria,Durham,M,37,1981/07/11
2209,Ben,Eaton,B,43,1975/12/23
2210,Aaron,Eaton,A,15,2003/11/21
2211,Susan,Gaines,S,46,1972/04/19
2212,Freddie,Gaines,F,35,1983/04/17
2213,Shai,Fulton,S,12,2006/05/24
2214,Shadow,Gallegos,S,38,1980/11/22
2215,jaco,Emerson,j,18,2000/05/12
2216,Freddie,Gallegos,F,6,2012/09/17
2217,Frik,Harold,F,29,1989/08/14
2218,Shae,Dyer,S,28,1990/07/29
2219,jaco,Ellis,j,24,1994/11/09
2220,Jan,Durham,J,16,2002/02/05
2221,Ben,Durham,B,17,2001/04/20
2222,Frik,Gamble,F,48,1970/01/16
2223,Riaan,Gamble,R,22,1996/02/10
2224,Peter,Duran,P,31,1987/12/14
2225,Aaron,Fulton,A,26,1992/12/19
2226,Aron-James,Gaines,A,35,1983/05/20
2227,Jan,"Van Zyl",J,36,1982/09/07
2228,Shai,England,S,16,2002/09/01
2229,Shadow,England,S,39,1979/11/10
2230,Maria,Emerson,M,47,1971/10/26
2231,Peter,"Van Zyl",P,27,1991/04/09
2232,Shane,Durham,S,8,2010/12/29
2233,Miena,Gamble,M,29,1989/07/12
2234,Ben,Dyer,B,39,1979/02/24
2235,Shane,Eaton,S,45,1973/03/24
2236,Shane,Elliott,S,0,2018/08/09
2237,Shadow,Galloway,S,19,1999/06/20
2238,Shahmir,Gallagher,S,9,2009/08/18
2239,Shane,Duran,S,21,1997/05/16
2240,"Pieter Andre",Gamble,PA,31,1987/10/13
2241,Freddie,Fuller,F,8,2010/10/05
2242,Shae,Galloway,S,26,1992/05/16
2243,"Garret Pieter",Emerson,GP,24,1994/12/11
2244,Maria,"Van Zyl",M,15,2003/02/08
2245,"Garret Pieter",Harold,GP,32,1986/06/26
2246,Shae,Emerson,S,33,1985/03/07
2247,Miena,Harold,M,34,1984/09/19
2248,Shai,Ellison,S,48,1970/07/08
2249,Jan,Duran,J,37,1981/03/02
2250,"Garret Pieter",Fuller,GP,4,2014/04/04
2251,Santie,Fuentes,S,23,1995/04/08
2252,Santie,Gallegos,S,12,2006/10/12
2253,Shane,Fulton,S,33,1985/05/28
2254,Jan,Emerson,J,46,1972/07/02
2255,"Pieter Andre",Harold,PA,47,1971/09/10
2256,"Pieter Andre",Duran,PA,5,2013/11/24
2257,Shahmir,Eaton,S,6,2012/10/06
2258,Maria,Gamble,M,39,1979/07/08
2259,Peter,Dyer,P,38,1980/02/23
2260,Aron-James,Fuentes,A,18,2000/08/09
2261,Shae,Harold,S,43,1975/12/16
2262,Frik,Eaton,F,6,2012/03/26
2263,Maria,Ellis,M,30,1988/06/21
2264,Shadow,Elliott,S,12,2006/02/07
2265,jaco,England,j,40,1978/11/20
2266,Maria,Eaton,M,3,2015/12/01
2267,Shai,England,S,15,2003/10/03
2268,Shadow,"Van Zyl",S,6,2012/04/18
2269,Riaan,England,R,36,1982/01/06
2270,Freddie,Gallagher,F,34,1984/01/17
2271,jaco,England,j,44,1974/12/30
2272,jaco,Edwards,j,22,1996/12/17
2273,Shadow,Eaton,S,40,1978/09/25
2274,Peter,Durham,P,29,1989/04/06
2275,Santie,"Van Zyl",S,47,1971/10/02
2276,Miena,England,M,34,1984/01/07
2277,Freddie,Duran,F,25,1993/11/02
2278,Shane,Dyer,S,39,1979/02/14
2279,Maria,Galloway,M,8,2010/08/25
2280,Susan,Gaines,S,32,1986/02/23
2281,Aron-James,Fulton,A,14,2004/02/22
2282,Susan,Eaton,S,5,2013/02/09
2283,"Pieter Andre",Dyer,PA,7,2011/03/20
2284,"Garret Pieter",Eaton,GP,46,1972/10/10
2285,Susan,Fulton,S,13,2005/02/21
2286,Jan,Durham,J,16,2002/10/28
2287,Shai,Galloway,S,2,2016/04/05
2288,Aaron,Ellis,A,31,1987/09/11
2289,Shahmir,Emerson,S,36,1982/11/07
2290,Aron-James,Dyer,A,42,1976/04/29
2291,"Pieter Andre",Fulton,PA,34,1984/09/01
2292,Shane,Eaton,S,7,2011/06/16
2293,Shane,Fulton,S,27,1991/08/14
2294,"Garret Pieter",Gallegos,GP,23,1995/04/26
2295,Susan,Elliott,S,34,1984/12/13
2296,Shahmir,Fuentes,S,1,2017/02/15
2297,Peter,Gaines,P,34,1984/02/07
2298,"Garret Pieter",Gaines,GP,14,2004/12/18
2299,"Garret Pieter",England,GP,42,1976/05/01
2300,Susan,Gallagher,S,42,1976/05/05
2301,Miena,Fuentes,M,26,1992/03/19
2302,Shane,Gallagher,S,37,1981/09/18
2303,Santie,Emerson,S,32,1986/01/04
2304,Shai,Fulton,S,5,2013/02/17
2305,Miena,Eaton,M,15,2003/09/29
2306,Shae,Elliott,S,35,1983/02/06
2307,Peter,England,P,16,2002/12/04
2308,Susan,Harold,S,41,1977/02/25
2309,Shai,Harold,S,18,2000/02/27
2310,Frik,England,F,27,1991/04/28
2311,Aron-James,Ellis,A,8,2010/06/24
2312,"Garret Pieter",Fuller,GP,12,2006/07/23
2313,"Garret Pieter",Dyer,GP,0,2018/10/15
2314,Shae,"Van Zyl",S,20,1998/01/13
2315,Shane,Fuller,S,43,1975/09/20
2316,jaco,Elliott,j,43,1975/09/24
2317,"Pieter Andre",Duran,PA,32,1986/02/05
2318,Riaan,Gallegos,R,17,2001/06/12
2319,Shadow,Gallagher,S,14,2004/02/03
2320,Frik,Dyer,F,15,2003/11/25
2321,Aaron,Gallagher,A,10,2008/03/12
2322,Jan,England,J,24,1994/02/11
2323,Peter,Gallagher,P,32,1986/05/04
2324,Shae,Gallagher,S,37,1981/11/23
2325,Shai,Galloway,S,23,1995/11/29
2326,Shai,"Van Zyl",S,44,1974/07/29
2327,Susan,Gamble,S,44,1974/05/22
2328,Jan,Elliott,J,20,1998/11/04
2329,Aron-James,Elliott,A,37,1981/03/23
2330,Shadow,Ellis,S,7,2011/01/30
2331,Shadow,Durham,S,44,1974/11/11
2332,Jan,Harold,J,25,1993/12/10
2333,Susan,Gamble,S,28,1990/06/17
2334,Peter,Gallegos,P,43,1975/11/06
2335,Shai,Fuller,S,31,1987/08/05
2336,Riaan,Duran,R,14,2004/12/10
2337,Shahmir,Harold,S,37,1981/07/16
2338,Freddie,England,F,47,1971/09/03
2339,Peter,Edwards,P,34,1984/12/24
2340,Riaan,Emerson,R,9,2009/08/14
2341,Aron-James,Eaton,A,13,2005/03/14
2342,Ben,"Van Zyl",B,41,1977/04/01
2343,Santie,Fuller,S,34,1984/03/27
2344,"Garret Pieter",Eaton,GP,10,2008/03/02
2345,jaco,Ellison,j,45,1973/05/18
2346,Freddie,Gamble,F,48,1970/11/12
2347,Jan,Duran,J,27,1991/05/16
2348,Miena,Duran,M,20,1998/10/08
2349,Maria,Fuller,M,44,1974/04/24
2350,Frik,Fulton,F,19,1999/06/03
2351,Miena,Gallegos,M,16,2002/05/22
2352,"Garret Pieter",Ellis,GP,25,1993/12/05
2353,Shai,Gaines,S,6,2012/01/07
2354,Susan,Fuller,S,1,2017/11/15
2355,jaco,Gallegos,j,37,1981/01/07
2356,Shahmir,Gallegos,S,7,2011/08/25
2357,Ben,"Van Zyl",B,3,2015/04/06
2358,Riaan,Gallagher,R,22,1996/04/18
2359,"Pieter Andre",Elliott,PA,16,2002/06/17
2360,Maria,Fulton,M,41,1977/06/12
2361,Susan,Dyer,S,30,1988/03/03
2362,Aron-James,Edwards,A,47,1971/04/02
2363,Susan,Fuller,S,5,2013/12/05
2364,Freddie,Ellis,F,20,1998/08/25
2365,Freddie,Dyer,F,33,1985/05/27
2366,Freddie,"Van Zyl",F,30,1988/10/21
